organism,NCBI.reference.nr,host,host.disease,isolation.source,sample.type,free.living,disease.associated
Pseudomonas aeruginosa,CP027169.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP027171.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP027165.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas furukawaii,AP014862.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. 31-12,CP029482.1,NA,NA,soil,whole organism,free.living,unknown
Pseudomonas fluorescens,CP012831.1,NA,NA,ground water from background well at DOE's FRC site at Oak Ridge,Whole organism,free.living,unknown
Pseudomonas fluorescens,CP012830.1,NA,NA,ground water from background well at DOE's FRC site at Oak Ridge,Whole organism,free.living,unknown
Pseudomonas silesiensis,CP014870.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP028917.1,NA,NA,soil,Cell culture,free.living,unknown
Pseudomonas fluorescens,CP028826.1,NA,NA,rhizosphere of a soybean plant,whole organism,host.associated,unknown
Pseudomonas aeruginosa,CP023316.1,NA,NA,Dental unit waterline,Whole organism,host.associated,unknown
Pseudomonas koreensis,CP027477.1,NA,NA,Origanum marjorana,Cultured bacterium isolated from environment,host.associated,unknown
Pseudomonas syringae pv. atrofaciens,CP028490.1,Triticum aestivum,cause bacterial basal glume rot on grains,Wheat (Triticum aestivum),NA,host.associated,unknown
Pseudomonas yamanorum,CP012400.2,NA,NA,NA,NA,unknown,unknown
Pseudomonas synxantha,CP011117.2,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP028162.1,Homo sapiens,Wound,Sacrum,NA,host.associated,unknown
Pseudomonas aeruginosa,CP020560.1,NA,NA,Chilli rhizosphere,Environmental,host.associated,unknown
Pseudomonas frederiksbergensis,CP017886.1,NA,NA,glacial stream,whole organism,free.living,unknown
Pseudomonas chlororaphis subsp. piscium,CP027656.1,Wheat,NA,NA,cell culture,host.associated,unknown
Pseudomonas mendocina,CP027657.1,NA,NA,soil isolate,pure culture,free.living,unknown
Pseudomonas aeruginosa,CP027538.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas lurida,CP023272.1,Caenorhabditis elegans MY316,NA,Rotting apple,Whole organism,host.associated,unknown
Pseudomonas sp. MYb193,CP023269.1,NA,NA,compost,Whole organism,free.living,unknown
Pseudomonas syringae pv. tomato,CP019871.1,Solanum lycopersicum cv. Brillante,NA,NA,pure culture,host.associated,unknown
Pseudomonas orientalis,CP018049.1,NA,NA,apple blossom,mixed culture,host.associated,unknown
Pseudomonas sp. LH1G9,CP026880.1,NA,NA,estuary,cell culture,free.living,unknown
Pseudomonas sp. LG1D9,CP026881.1,NA,NA,freshwater,cell culture,free.living,unknown
Pseudomonas aeruginosa,CP026680.1,Homo sapiens,Cancer,urine,NA,host.associated,unknown
Pseudomonas sp. SWI36,CP026675.1,NA,NA,soil,cell culture,free.living,unknown
Pseudomonas sp. SWI44,CP026674.1,NA,NA,soil,cell culture,free.living,unknown
Pseudomonas sp. SWI6,CP026676.1,NA,NA,soil,cell culture,free.living,unknown
Pseudomonas syringae pv. syringae,CP026568.1,Prunus sp.,dieback,NA,NA,host.associated,disease.associated
Pseudomonas avellanae,CP026562.1,Prunus avium,shothole,NA,NA,host.associated,unknown
Pseudomonas amygdali pv. morsprunorum,CP026558.1,Prunus avium,bacterial canker,NA,NA,host.associated,disease.associated
Pseudomonas sp. XWY-1,CP026332.1,NA,NA,Rice Fields,cell culture,host.associated,unknown
Pseudomonas sp. PONIH3,CP026386.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas fluorescens,CP025542.1,NA,NA,Take-all decline soil of wheat,Single cell,host.associated,unknown
Pseudomonas sp. NC02,CP025624.1,NA,NA,soil,cell culture,free.living,unknown
Pseudomonas glycinae,CP014205.2,NA,NA,cotton field,single cell,host.associated,unknown
Pseudomonas chlororaphis,CP025309.1,NA,NA,soil,mixed culture,free.living,unknown
Pseudomonas sp. AK6U,CP025229.1,NA,NA,Oil contaminated soil,whole organism,free.living,unknown
Pseudomonas sp. Lz4W,CP017432.1,NA,NA,soil,NA,free.living,unknown
Pseudomonas aeruginosa,CP025051.1,Homo sapiens,NA,urine,culture,host.associated,unknown
Pseudomonas aeruginosa,CP025050.1,Homo sapiens,NA,Abscess,culture,host.associated,unknown
Pseudomonas aeruginosa,CP025049.1,Homo sapiens,NA,Abscess,culture,host.associated,unknown
Pseudomonas aeruginosa,CP025053.1,Homo sapiens,NA,urine,culture,host.associated,unknown
Pseudomonas syringae pv. actinidiae,CP024712.1,Actinidia chinensis,NA,NA,bacterial culture,host.associated,unknown
Pseudomonas sp. HLS-6,CP024478.1,NA,NA,water,whole organism,free.living,unknown
Pseudomonas mosselii,CP024159.1,NA,NA,plant root rhizosphere,cell culture,host.associated,unknown
Pseudomonas putida,CP024086.1,Ripariosida hermaphrodita,NA,Surface sterilized roots of Sida hermaphrodita,NA,host.associated,unknown
Pseudomonas putida,CP024085.1,Ripariosida hermaphrodita,NA,Surface sterilized roots of Sida hermaphrodita,NA,host.associated,unknown
Pseudomonas fulva,CP023048.1,Shiraia bambusicola,NA,tabasheer fruting body of fungus on Brachystachyum Keng,cell culture,host.associated,unknown
Pseudomonas koreensis,CP015852.1,Rice,NA,NA,NA,host.associated,unknown
Pseudomonas mosselii,CP023299.1,NA,NA,rhizosphere soil around rice plants,single cell,host.associated,unknown
Pseudomonas mendocina,CP023641.1,NA,NA,freshwater cyanobacteria,Cultured cells,free.living,unknown
Pseudomonas aeruginosa,CP017306.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas frederiksbergensis,CP023466.1,NA,NA,soil,NA,free.living,unknown
Pseudomonas alkylphenolica,CP009048.1,NA,NA,soil,NA,free.living,unknown
Pseudomonas aeruginosa PAK,CP020659.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP022002.1,Homo sapiens,Chiari malformation,blood,NA,host.associated,unknown
Pseudomonas aeruginosa,CP022001.1,Homo sapiens,Comunity-adquired pneumonia,blood,NA,host.associated,unknown
Pseudomonas aeruginosa,CP022000.1,Homo sapiens,ventilator-associated pneumonia,bronchial washing,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP021999.1,Homo sapiens,ventilator-associated pneumonia,bronchial washing,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP021774.1,Homo sapiens,ventilator-associated pneumonia,bronchial washing,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP021775.1,Homo sapiens,ventilator-associated pneumonia,bronchial washing,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP022526.1,NA,NA,Open Ocean,culture,free.living,unknown
Pseudomonas aeruginosa,CP022525.1,NA,NA,Open Ocean,culture,free.living,unknown
Pseudomonas aeruginosa,CP019338.1,NA,NA,Halobiotic reed,tissue sample,host.associated,unknown
Pseudomonas aeruginosa,CP017293.1,Homo sapiens,NA,NA,blood,host.associated,unknown
Pseudomonas fragi,CP021132.1,NA,NA,meat,cell culture,free.living,unknown
Pseudomonas aeruginosa,AP017302.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,AP014651.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,AP014622.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa NCGM2.S1,AP012280.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP020704.1,Homo sapiens,N.A.,sputum,NA,host.associated,unknown
Pseudomonas aeruginosa,CP020703.1,Homo sapiens,N.A.,sputum,NA,host.associated,unknown
Pseudomonas aeruginosa,CP008858.2,Homo sapiens,Cancer,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP008872.2,Homo sapiens,Cancer,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP008871.2,Homo sapiens,Cancer,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP008870.2,Homo sapiens,Cancer,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP008869.2,Homo sapiens,Cancer,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP008866.2,Homo sapiens,Cancer,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP008865.2,Homo sapiens,Cancer,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP008864.2,Homo sapiens,Cancer,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP008862.2,Homo sapiens,Cancer,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP008860.2,Homo sapiens,Cancer,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP008859.2,Homo sapiens,Cancer,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP008856.2,Homo sapiens,Cancer,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP020603.1,Homo sapiens,respiratory failure,sputum,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP016955.1,Homo sapiens,unavailable,unavailable,NA,host.associated,unknown
Pseudomonas aeruginosa,CP014866.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas amygdali pv. lachrymans,CP020351.1,cucumber,NA,NA,Cell culture,host.associated,unknown
Pseudomonas sp. LPH1,CP017290.1,NA,NA,"Coisolated with amoeba LPG3, from freshwater residential lily pond",bacterial culture,free.living,unknown
Pseudomonas veronii,CP018420.1,Solanum tuberosum,NA,rhizosphere soil,whole organism,host.associated,unknown
Pseudomonas putida,CP018846.1,Zea mays,NA,root,cell culture,host.associated,unknown
Pseudomonas sp. CC6-YY-74,CP019947.1,NA,NA,Arctic Ocean sediment,single bacterium,free.living,unknown
Pseudomonas syringae pv. actinidiae,CP019732.1,Actinidia deliciosa,NA,NA,cell culture,host.associated,unknown
Pseudomonas syringae pv. actinidiae,CP019730.1,Actinidia deliciosa,NA,NA,cell culture,host.associated,unknown
Pseudomonas azotoformans,CP019856.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas protegens,CP013184.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas syringae pv. actinidiae ICMP 9853,CP018202.1,Actinidia,NA,NA,NA,host.associated,unknown
Pseudomonas frederiksbergensis,CP018319.1,NA,NA,arsenic-contaminated soil,NA,free.living,unknown
Pseudomonas alcaliphila JAB1,CP016162.1,NA,NA,PCB contaminated soil,cell culture,free.living,unknown
Pseudomonas psychrotolerans,CP018758.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas syringae pv. actinidiae,CP017009.1,Actinidia chinensis,NA,Research orchard,single cell,host.associated,unknown
Pseudomonas syringae pv. actinidiae,CP017007.1,Actinidia deliciosa,NA,kiwifruit orchard,whole organism,host.associated,unknown
Pseudomonas aeruginosa,CP013479.1,Homo sapiens,NA,NA,cell culture,host.associated,unknown
Pseudomonas aeruginosa,CP013478.1,NA,NA,murine model,cell culture,host.associated,unknown
Pseudomonas aeruginosa,CP013477.1,NA,NA,murine model,cell culture,host.associated,unknown
Pseudomonas putida,AP015029.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas putida,CP017073.1,Homo sapiens,Urinary tract infection,urine,NA,host.associated,disease.associated
Pseudomonas aeruginosa VRFPA04,CP008739.2,Homo sapiens,NA,Corneal button from patient with corneal keratitis,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP013113.1,NA,NA,Lindberg collection,cell culture,unknown,unknown
Pseudomonas aeruginosa,CP017969.1,NA,NA,wastewater,NA,free.living,unknown
Pseudomonas aeruginosa,CP014999.1,Homo sapiens,NA,tracheal aspirate,whole organism,host.associated,unknown
Pseudomonas aeruginosa,CP015003.1,Homo sapiens,NA,bloodstream,whole organism,host.associated,unknown
Pseudomonas aeruginosa,CP015002.1,Homo sapiens,NA,tracheal aspirate,whole organism,host.associated,unknown
Pseudomonas aeruginosa,CP015001.1,Homo sapiens,NA,urine,whole organism,host.associated,unknown
Pseudomonas putida JB,CP016212.1,NA,NA,PCB contaminated soil,cell culture,free.living,unknown
Pseudomonas protegens Cab57,AP014522.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas putida NBRC 14164,AP013070.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas resinovorans NBRC 106553,AP013068.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP017353.1,NA,NA,wastewater,cell culture,free.living,unknown
Pseudomonas citronellolis,CP014158.1,basil,NA,phyllosphere material,phyllosphere material,host.associated,unknown
Pseudomonas fluorescens,CP017296.1,NA,NA,rhizosphere soil,pure culture,host.associated,unknown
Pseudomonas brassicacearum,CP014693.1,Solanum tuberosum cv Desiree,NA,rhizosphere of field grown potato plants,NA,host.associated,unknown
Pseudomonas syringae pv. actinidiae ICMP 18708,CP012179.1,Actinidia,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP017149.1,NA,NA,Infected wound,cell culture,host.associated,disease.associated
Pseudomonas aeruginosa,CP012582.1,Homo sapiens,Ventilator associated pneumonia,Sputum; Late isolate from VAP patient 2,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP012579.1,Homo sapiens,Ventilator associated pneumonia,Sputum; Early isolate from VAP patient 3,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP017099.1,NA,NA,soil,whole organism,free.living,unknown
Pseudomonas aeruginosa,CP012584.1,Homo sapiens,46,Sputum; Late isolate from VAP patient 4,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP012583.1,Homo sapiens,Ventilator associated pneumonia,Sputum; Late isolate from VAP patient 3,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP012581.1,Homo sapiens,Ventilator associated pneumonia,Sputum; Early isolate from VAP patient 4,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP012580.1,Homo sapiens,Ventilator associated pneumonia,Sputum; Late isolate from VAP patient 1,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP012578.1,Homo sapiens,Ventilator associated pneumonia,Sputum; Early isolate from VAP patient 2,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP012585.1,Homo sapiens,Ventilator associated pneumonia,Sputum; Early isolate from VAP patient 1,NA,host.associated,disease.associated
Pseudomonas sp. TCU-HL1,CP015992.1,NA,NA,soil sample,single cell,free.living,unknown
Pseudomonas fluorescens,CP015638.1,Miscanthus x giganteus,NA,Interior of surface sterilised leaf tissue,NA,host.associated,unknown
Pseudomonas fluorescens,CP015637.1,Miscanthus x giganteus,NA,Interior of surface sterilised leaf tissue,NA,host.associated,unknown
Pseudomonas corrugata,CP014262.1,Brassica napus,NA,greenhouse grown oilseed rape rhizosphere of Sphagnum magellanicum-treated seeds,NA,host.associated,unknown
Pseudomonas sp. TMW 2.1634,CP016849.1,NA,NA,poultry meat,cell culture,free.living,unknown
Pseudomonas putida,CP016634.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP011857.1,Homo sapiens,NA,sputum,NA,host.associated,unknown
Pseudomonas aeruginosa,CP016214.1,Homo sapiens,Respiratory disease,sputum,NA,host.associated,disease.associated
Pseudomonas brassicacearum subsp. brassicacearum NFM421,CP002585.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. GR 6-02,CP011567.1,Artemisia princeps,NA,plant root,Bacteria pure culture,host.associated,unknown
Pseudomonas sp. DR 5-09,CP011566.1,Erigeron canadensis,NA,plant root,Bacteria pure culture,host.associated,unknown
Pseudomonas sp. JY-Q,CP011525.1,NA,NA,TWE(tobacco waste extract),whole genome,host.associated,unknown
Pseudomonas citronellolis,CP015878.1,NA,NA,sludge,monosample,free.living,unknown
Pseudomonas aeruginosa SJTD-1,CP015877.1,NA,NA,soil,NA,free.living,unknown
Pseudomonas putida SJTE-1,CP015876.1,NA,NA,soil,NA,free.living,unknown
Pseudomonas antarctica,CP015600.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas stutzeri,CP015641.1,NA,NA,East China Sea,marine sediment,free.living,unknown
Pseudomonas aeruginosa,AP014646.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas putida B6-2,CP015202.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP015377.1,Homo sapiens,NA,combat injury wound,NA,host.associated,unknown
Pseudomonas putida,CP011789.1,Pistacia chinensis Bunge,NA,seeds,single microbe,host.associated,unknown
Pseudomonas aeruginosa,CP015117.1,Homo sapiens,nosocomial infections,NA,NA,host.associated,disease.associated
Pseudomonas koreensis,CP014947.1,NA,NA,soil,single cell,free.living,unknown
Pseudomonas syringae pv. lapsa,CP013183.1,Triticum aestivum,NA,NA,whole organism,host.associated,unknown
Pseudomonas aeruginosa,CP013696.1,Homo sapiens,NA,Blood culture of burn human patient,NA,host.associated,unknown
Pseudomonas aeruginosa,CP014948.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas chlororaphis,CP014867.1,NA,NA,soil,cell culture,free.living,unknown
Pseudomonas azotoformans,CP014546.1,NA,NA,soil,single cell,free.living,unknown
Pseudomonas aeruginosa,CP013144.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas brassicacearum,CP012680.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP013245.1,Homo sapiens,NA,Skin wound of burn human patient,NA,host.associated,unknown
Pseudomonas putida KT2440,AE015451.2,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP012679.1,NA,NA,hospital sewage,cell culture,free.living,unknown
Pseudomonas putida,CP014343.1,NA,NA,soil,whole organism,free.living,unknown
Pseudomonas fragi,CP013861.1,NA,NA,sediment of Arctic,whole organism,free.living,unknown
Pseudomonas aeruginosa,CP008873.1,Homo sapiens,Cancer,NA,NA,host.associated,unknown
Pseudomonas versuta,CP012676.1,NA,NA,soil,cell culture,free.living,unknown
Pseudomonas aeruginosa DHS01,CP013993.1,Homo sapiens,Assymptomatic carrier,Patient (nose),NA,host.associated,unknown
Pseudomonas aeruginosa,CP013989.1,Bos taurus,NA,nasopharynx,NA,host.associated,unknown
Pseudomonas aeruginosa,CP008868.1,Homo sapiens,Cancer,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP008867.1,Homo sapiens,Cancer,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP008863.1,Homo sapiens,Cancer,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP008861.1,Homo sapiens,Cancer,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP008857.1,Homo sapiens,Cancer,NA,NA,host.associated,unknown
Pseudomonas aeruginosa DSM 50071 = NBRC 12689,CP012001.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP012901.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa PA1,CP004054.2,NA,NA,NA,NA,unknown,unknown
Pseudomonas chlororaphis,CP011020.1,NA,NA,soil,cell,free.living,unknown
Pseudomonas mendocina S5.2,CP013124.1,NA,NA,rhizosphere soil,NA,host.associated,unknown
Pseudomonas fluorescens NCIMB 11764,CP010945.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas syringae UMAF0158,CP005970.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas trivialis,CP011507.1,NA,NA,Hippophae rhamnoides rhizosphere,rhizospheric soil,host.associated,unknown
Pseudomonas aeruginosa,AP014839.2,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP012066.1,rice,NA,NA,Cell culture,host.associated,unknown
Pseudomonas aeruginosa,CP007399.1,Homo sapiens,cancer,pubic bone,NA,host.associated,unknown
Pseudomonas syringae pv. syringae B301D,CP005969.1,Pyrus communis,NA,NA,NA,host.associated,unknown
Pseudomonas syringae pv. syringae HS191,CP006256.1,Panicum miliaceum,NA,NA,NA,host.associated,unknown
Pseudomonas putida S13.1.2,CP010979.1,NA,NA,rhizosphere soil,NA,host.associated,unknown
Pseudomonas aeruginosa,CP011317.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas putida S12,CP009974.1,NA,NA,soil,NA,free.living,unknown
